(eksperyment przeprowadzony na OS Linux)
Macierz Hilberta
Wyniki w postaci: 
n rank(A)     cond(A)             eliminacja gaussa              inv
2   2      19.28147006790397    5.661048867003676e-16    1.4043333874306803e-15
3   3      524.0567775860644    8.022593772267726e-15    0.0
4   4      15513.73873892924    4.4515459601812086e-13    4.0996530221808757e-13
5   5      476607.25024331047    1.6828426299227195e-12    3.2543043465682462e-12
6   6      1.495105864125091e7    2.618913302311624e-10    1.2883031376157472e-10
7   7      4.7536735647344047e8    1.1328142969056265e-8    4.032805581748429e-9
8   8      1.525757551642611e10    3.539844668926116e-7    3.862822472100174e-7
9   9      4.931539500738534e11    6.015315045425784e-6    1.137323420456882e-5
10   10      1.6024868379056498e13    0.00017899791220199793    0.00045037990900565275
11   10      5.223733117324263e14    0.008044067151200653    0.010953978875396859
12   11      1.7341930983785612e16    0.23809370828812224    0.7646686036530203
13   11      1.1522843303590932e18    57.83000687827706    35.15351393266081
14   11      6.06112400617363e17    2.982952532671996    4.875801223197704
15   12      6.504049098176895e17    3.06964399281068    22.079244508503688
16   12      3.498527647064917e17    18.63410314277541    13.627302482711768
17   12      5.046792958377091e17    1.6664937063354397    13.57336424125635
18   12      1.0190210372627103e18    55.65965311013928    70.63403951454899
19   13      1.1330805457366684e18    16.810267879293978    14.650337924995926
20   13      2.5382496382297713e18    21.403720415848714    109.81438885705134
21   13      3.085325530528195e18    14.131586614264583    61.56657777614069
22   13      1.8512631782844216e18    285.2622854691671    223.34823988261655
23   13      1.1448363665742652e18    23.698931371171994    26.244669007643207
24   13      4.2781222739562583e18    12.664694162539185    13.860939760430663
25   13      6.0919576838107685e19    28.046639859820335    30.218040979040115
26   14      2.0040729185184236e18    34.836394727496724    65.90131453638766
27   14      5.004966870318743e18    14.207882496312248    21.36570003109647
28   14      5.97438732511109e18    18.56568607769768    27.896223281690236
29   14      2.726491576645145e19    21.993500810059164    33.98938404618491
30   14      2.4515310428313155e18    67.54658072741391    65.16287386394825
Macierz losowa
n rank(A)     cond(A)             eliminacja gaussa              inv
5   5      1.0000000000000007    1.719950113979703e-16    2.432376777795247e-16
5   5      9.999999999999995    1.3136335981433191e-16    2.482534153247273e-16
5   5      999.999999999986    6.121482228636979e-14    7.169090995165241e-14
5   5      1.0000000002008274e7    5.334237472387399e-11    1.594082445095893e-11
5   5      1.0000902672721001e12    3.264461609936889e-5    3.245856839932655e-5
5   4      9.089764276515404e15    0.13119624866857832    0.1956559480312316
10   10      1.0000000000000013    2.482534153247273e-16    1.890641683868921e-16
10   10      10.0    2.1065000811460205e-16    2.696722356863272e-16
10   10      999.9999999999707    6.107939166631972e-14    5.920893397792411e-14
10   10      9.999999997007772e6    1.147530324466724e-10    1.1111032898084421e-10
10   10      1.0000374783591967e12    2.0477680098558766e-5    1.8393804094301138e-5
10   9      8.796002223592517e15    0.08913038031526217    0.10539638721275033
20   20      1.0000000000000013    5.617333549722722e-16    5.484097192022683e-16
20   20      9.999999999999982    4.977465500091126e-16    4.971270767759187e-16
20   20      1000.0000000000276    2.2989821141483903e-14    1.7900706681602682e-14
20   20      9.999999998100726e6    1.910010328305373e-11    4.441464088356969e-11
20   20      1.0000137138021631e12    2.1423025386914042e-5    1.9956646258987636e-5
20   19      4.967842488947862e15    0.04636334924349563    0.07714225647707616
